gene_id,transcript_id,coords
FBgn0000017,FBtr0075357,3L:16625264:16626537:-
FBgn0000017,FBtr0075357,3L:16626606:16626752:-
FBgn0000017,FBtr0075357,3L:16626853:16626931:-
FBgn0000017,FBtr0075357,3L:16627182:16627511:-
FBgn0000017,FBtr0075357,3L:16628078:16628183:-
FBgn0000017,FBtr0075357,3L:16628579:16646819:-
FBgn0000017,FBtr0112790,3L:16625264:16626537:-
FBgn0000017,FBtr0112790,3L:16626606:16626752:-
FBgn0000017,FBtr0112790,3L:16626853:16626931:-
FBgn0000017,FBtr0112790,3L:16627182:16627511:-
FBgn0000017,FBtr0112790,3L:16628078:16628183:-
FBgn0000017,FBtr0112790,3L:16628579:16628672:-
FBgn0000017,FBtr0112790,3L:16629196:16646819:-
FBgn0000017,FBtr0112790,3L:16625264:16626537:-
FBgn0000017,FBtr0112790,3L:16626606:16626752:-
FBgn0000017,FBtr0112790,3L:16626853:16626931:-
FBgn0000017,FBtr0112790,3L:16627182:16627511:-
FBgn0000017,FBtr0112790,3L:16628078:16628183:-
FBgn0000017,FBtr0112790,3L:16628579:16628672:-
FBgn0000017,FBtr0112790,3L:16629196:16646819:-
FBgn0000017,FBtr0330130,3L:16625264:16626282:-
FBgn0000017,FBtr0330130,3L:16626606:16626752:-
FBgn0000017,FBtr0330130,3L:16626853:16626931:-
FBgn0000017,FBtr0330130,3L:16627182:16627511:-
FBgn0000017,FBtr0330130,3L:16628078:16628183:-
FBgn0000017,FBtr0330130,3L:16628579:16646819:-
FBgn0000017,FBtr0330130,3L:16625264:16626282:-
FBgn0000017,FBtr0330130,3L:16626606:16626752:-
FBgn0000017,FBtr0330130,3L:16626853:16626931:-
FBgn0000017,FBtr0330130,3L:16627182:16627511:-
FBgn0000017,FBtr0330130,3L:16628078:16628183:-
FBgn0000017,FBtr0330130,3L:16628579:16646819:-
FBgn0000017,FBtr0330132,3L:16623278:16623646:-
FBgn0000017,FBtr0330132,3L:16625264:16626282:-
FBgn0000017,FBtr0330132,3L:16626606:16626752:-
FBgn0000017,FBtr0330132,3L:16626853:16626931:-
FBgn0000017,FBtr0330132,3L:16627182:16627511:-
FBgn0000017,FBtr0330132,3L:16628078:16628183:-
FBgn0000017,FBtr0330132,3L:16628579:16646819:-
FBgn0000017,FBtr0330130,3L:16625264:16626282:-
FBgn0000017,FBtr0330130,3L:16626606:16626752:-
FBgn0000017,FBtr0330130,3L:16626853:16626931:-
FBgn0000017,FBtr0330130,3L:16627182:16627511:-
FBgn0000017,FBtr0330130,3L:16628078:16628183:-
FBgn0000017,FBtr0330130,3L:16628579:16646819:-
FBgn0000017,FBtr0330131,3L:16623278:16623646:-
FBgn0000017,FBtr0330131,3L:16625264:16626282:-
FBgn0000017,FBtr0330131,3L:16626606:16626752:-
FBgn0000017,FBtr0330131,3L:16626853:16626931:-
FBgn0000017,FBtr0330131,3L:16627182:16627511:-
FBgn0000017,FBtr0330131,3L:16628078:16628183:-
FBgn0000017,FBtr0330131,3L:16628579:16628672:-
FBgn0000017,FBtr0330131,3L:16629196:16646819:-
FBgn0000017,FBtr0112790,3L:16625264:16626537:-
FBgn0000017,FBtr0112790,3L:16626606:16626752:-
FBgn0000017,FBtr0112790,3L:16626853:16626931:-
FBgn0000017,FBtr0112790,3L:16627182:16627511:-
FBgn0000017,FBtr0112790,3L:16628078:16628183:-
FBgn0000017,FBtr0112790,3L:16628579:16628672:-
FBgn0000017,FBtr0112790,3L:16629196:16646819:-
FBgn0000017,FBtr0330133,3L:16625264:16626282:-
FBgn0000017,FBtr0330133,3L:16626606:16626752:-
FBgn0000017,FBtr0330133,3L:16626853:16626931:-
FBgn0000017,FBtr0330133,3L:16627182:16627511:-
FBgn0000017,FBtr0330133,3L:16628078:16628183:-
FBgn0000017,FBtr0330133,3L:16628579:16628672:-
FBgn0000017,FBtr0330133,3L:16629196:16646819:-
FBgn0000017,FBtr0112790,3L:16625264:16626537:-
FBgn0000017,FBtr0112790,3L:16626606:16626752:-
FBgn0000017,FBtr0112790,3L:16626853:16626931:-
FBgn0000017,FBtr0112790,3L:16627182:16627511:-
FBgn0000017,FBtr0112790,3L:16628078:16628183:-
FBgn0000017,FBtr0112790,3L:16628579:16628672:-
FBgn0000017,FBtr0112790,3L:16629196:16646819:-
FBgn0000017,FBtr0330131,3L:16623278:16623646:-
FBgn0000017,FBtr0330131,3L:16625264:16626282:-
FBgn0000017,FBtr0330131,3L:16626606:16626752:-
FBgn0000017,FBtr0330131,3L:16626853:16626931:-
FBgn0000017,FBtr0330131,3L:16627182:16627511:-
FBgn0000017,FBtr0330131,3L:16628078:16628183:-
FBgn0000017,FBtr0330131,3L:16628579:16628672:-
FBgn0000017,FBtr0330131,3L:16629196:16646819:-
FBgn0000017,FBtr0112790,3L:16625264:16626537:-
FBgn0000017,FBtr0112790,3L:16626606:16626752:-
FBgn0000017,FBtr0112790,3L:16626853:16626931:-
FBgn0000017,FBtr0112790,3L:16627182:16627511:-
FBgn0000017,FBtr0112790,3L:16628078:16628183:-
FBgn0000017,FBtr0112790,3L:16628579:16628672:-
FBgn0000017,FBtr0112790,3L:16629196:16646819:-
FBgn0000017,FBtr0330135,3L:16623278:16623646:-
FBgn0000017,FBtr0330135,3L:16625264:16626537:-
FBgn0000017,FBtr0330135,3L:16626606:16626752:-
FBgn0000017,FBtr0330135,3L:16626853:16626931:-
FBgn0000017,FBtr0330135,3L:16627182:16627511:-
FBgn0000017,FBtr0330135,3L:16628078:16628183:-
FBgn0000017,FBtr0330135,3L:16628579:16646819:-
FBgn0000017,FBtr0112790,3L:16625264:16626537:-
FBgn0000017,FBtr0112790,3L:16626606:16626752:-
FBgn0000017,FBtr0112790,3L:16626853:16626931:-
FBgn0000017,FBtr0112790,3L:16627182:16627511:-
FBgn0000017,FBtr0112790,3L:16628078:16628183:-
FBgn0000017,FBtr0112790,3L:16628579:16628672:-
FBgn0000017,FBtr0112790,3L:16629196:16646819:-
FBgn0000017,FBtr0330134,3L:16623278:16623646:-
FBgn0000017,FBtr0330134,3L:16625264:16626537:-
FBgn0000017,FBtr0330134,3L:16626606:16626752:-
FBgn0000017,FBtr0330134,3L:16626853:16626931:-
FBgn0000017,FBtr0330134,3L:16627182:16627511:-
FBgn0000017,FBtr0330134,3L:16628078:16628183:-
FBgn0000017,FBtr0330134,3L:16628579:16628672:-
FBgn0000017,FBtr0330134,3L:16629196:16646819:-
FBgn0000017,FBtr0330130,3L:16625264:16626282:-
FBgn0000017,FBtr0330130,3L:16626606:16626752:-
FBgn0000017,FBtr0330130,3L:16626853:16626931:-
FBgn0000017,FBtr0330130,3L:16627182:16627511:-
FBgn0000017,FBtr0330130,3L:16628078:16628183:-
FBgn0000017,FBtr0330130,3L:16628579:16646819:-
FBgn0000017,FBtr0330133,3L:16625264:16626282:-
FBgn0000017,FBtr0330133,3L:16626606:16626752:-
FBgn0000017,FBtr0330133,3L:16626853:16626931:-
FBgn0000017,FBtr0330133,3L:16627182:16627511:-
FBgn0000017,FBtr0330133,3L:16628078:16628183:-
FBgn0000017,FBtr0330133,3L:16628579:16628672:-
FBgn0000017,FBtr0330133,3L:16629196:16646819:-
FBgn0000017,FBtr0112790,3L:16625264:16626537:-
FBgn0000017,FBtr0112790,3L:16626606:16626752:-
FBgn0000017,FBtr0112790,3L:16626853:16626931:-
FBgn0000017,FBtr0112790,3L:16627182:16627511:-
FBgn0000017,FBtr0112790,3L:16628078:16628183:-
FBgn0000017,FBtr0112790,3L:16628579:16628672:-
FBgn0000017,FBtr0112790,3L:16629196:16646819:-
FBgn0000017,FBtr0330132,3L:16623278:16623646:-
FBgn0000017,FBtr0330132,3L:16625264:16626282:-
FBgn0000017,FBtr0330132,3L:16626606:16626752:-
FBgn0000017,FBtr0330132,3L:16626853:16626931:-
FBgn0000017,FBtr0330132,3L:16627182:16627511:-
FBgn0000017,FBtr0330132,3L:16628078:16628183:-
FBgn0000017,FBtr0330132,3L:16628579:16646819:-
FBgn0000017,FBtr0330130,3L:16625264:16626282:-
FBgn0000017,FBtr0330130,3L:16626606:16626752:-
FBgn0000017,FBtr0330130,3L:16626853:16626931:-
FBgn0000017,FBtr0330130,3L:16627182:16627511:-
FBgn0000017,FBtr0330130,3L:16628078:16628183:-
FBgn0000017,FBtr0330130,3L:16628579:16646819:-
FBgn0000017,FBtr0330135,3L:16623278:16623646:-
FBgn0000017,FBtr0330135,3L:16625264:16626537:-
FBgn0000017,FBtr0330135,3L:16626606:16626752:-
FBgn0000017,FBtr0330135,3L:16626853:16626931:-
FBgn0000017,FBtr0330135,3L:16627182:16627511:-
FBgn0000017,FBtr0330135,3L:16628078:16628183:-
FBgn0000017,FBtr0330135,3L:16628579:16646819:-
FBgn0000017,FBtr0330130,3L:16625264:16626282:-
FBgn0000017,FBtr0330130,3L:16626606:16626752:-
FBgn0000017,FBtr0330130,3L:16626853:16626931:-
FBgn0000017,FBtr0330130,3L:16627182:16627511:-
FBgn0000017,FBtr0330130,3L:16628078:16628183:-
FBgn0000017,FBtr0330130,3L:16628579:16646819:-
FBgn0000017,FBtr0330134,3L:16623278:16623646:-
FBgn0000017,FBtr0330134,3L:16625264:16626537:-
FBgn0000017,FBtr0330134,3L:16626606:16626752:-
FBgn0000017,FBtr0330134,3L:16626853:16626931:-
FBgn0000017,FBtr0330134,3L:16627182:16627511:-
FBgn0000017,FBtr0330134,3L:16628078:16628183:-
FBgn0000017,FBtr0330134,3L:16628579:16628672:-
FBgn0000017,FBtr0330134,3L:16629196:16646819:-
FBgn0000017,FBtr0330131,3L:16623278:16623646:-
FBgn0000017,FBtr0330131,3L:16625264:16626282:-
FBgn0000017,FBtr0330131,3L:16626606:16626752:-
FBgn0000017,FBtr0330131,3L:16626853:16626931:-
FBgn0000017,FBtr0330131,3L:16627182:16627511:-
FBgn0000017,FBtr0330131,3L:16628078:16628183:-
FBgn0000017,FBtr0330131,3L:16628579:16628672:-
FBgn0000017,FBtr0330131,3L:16629196:16646819:-
FBgn0000017,FBtr0330133,3L:16625264:16626282:-
FBgn0000017,FBtr0330133,3L:16626606:16626752:-
FBgn0000017,FBtr0330133,3L:16626853:16626931:-
FBgn0000017,FBtr0330133,3L:16627182:16627511:-
FBgn0000017,FBtr0330133,3L:16628078:16628183:-
FBgn0000017,FBtr0330133,3L:16628579:16628672:-
FBgn0000017,FBtr0330133,3L:16629196:16646819:-
FBgn0000017,FBtr0330131,3L:16623278:16623646:-
FBgn0000017,FBtr0330131,3L:16625264:16626282:-
FBgn0000017,FBtr0330131,3L:16626606:16626752:-
FBgn0000017,FBtr0330131,3L:16626853:16626931:-
FBgn0000017,FBtr0330131,3L:16627182:16627511:-
FBgn0000017,FBtr0330131,3L:16628078:16628183:-
FBgn0000017,FBtr0330131,3L:16628579:16628672:-
FBgn0000017,FBtr0330131,3L:16629196:16646819:-
FBgn0000017,FBtr0330134,3L:16623278:16623646:-
FBgn0000017,FBtr0330134,3L:16625264:16626537:-
FBgn0000017,FBtr0330134,3L:16626606:16626752:-
FBgn0000017,FBtr0330134,3L:16626853:16626931:-
FBgn0000017,FBtr0330134,3L:16627182:16627511:-
FBgn0000017,FBtr0330134,3L:16628078:16628183:-
FBgn0000017,FBtr0330134,3L:16628579:16628672:-
FBgn0000017,FBtr0330134,3L:16629196:16646819:-
FBgn0000017,FBtr0330131,3L:16623278:16623646:-
FBgn0000017,FBtr0330131,3L:16625264:16626282:-
FBgn0000017,FBtr0330131,3L:16626606:16626752:-
FBgn0000017,FBtr0330131,3L:16626853:16626931:-
FBgn0000017,FBtr0330131,3L:16627182:16627511:-
FBgn0000017,FBtr0330131,3L:16628078:16628183:-
FBgn0000017,FBtr0330131,3L:16628579:16628672:-
FBgn0000017,FBtr0330131,3L:16629196:16646819:-
FBgn0000017,FBtr0330132,3L:16623278:16623646:-
FBgn0000017,FBtr0330132,3L:16625264:16626282:-
FBgn0000017,FBtr0330132,3L:16626606:16626752:-
FBgn0000017,FBtr0330132,3L:16626853:16626931:-
FBgn0000017,FBtr0330132,3L:16627182:16627511:-
FBgn0000017,FBtr0330132,3L:16628078:16628183:-
FBgn0000017,FBtr0330132,3L:16628579:16646819:-
FBgn0000017,FBtr0330132,3L:16623278:16623646:-
FBgn0000017,FBtr0330132,3L:16625264:16626282:-
FBgn0000017,FBtr0330132,3L:16626606:16626752:-
FBgn0000017,FBtr0330132,3L:16626853:16626931:-
FBgn0000017,FBtr0330132,3L:16627182:16627511:-
FBgn0000017,FBtr0330132,3L:16628078:16628183:-
FBgn0000017,FBtr0330132,3L:16628579:16646819:-
FBgn0000017,FBtr0330134,3L:16623278:16623646:-
FBgn0000017,FBtr0330134,3L:16625264:16626537:-
FBgn0000017,FBtr0330134,3L:16626606:16626752:-
FBgn0000017,FBtr0330134,3L:16626853:16626931:-
FBgn0000017,FBtr0330134,3L:16627182:16627511:-
FBgn0000017,FBtr0330134,3L:16628078:16628183:-
FBgn0000017,FBtr0330134,3L:16628579:16628672:-
FBgn0000017,FBtr0330134,3L:16629196:16646819:-
FBgn0000017,FBtr0330131,3L:16623278:16623646:-
FBgn0000017,FBtr0330131,3L:16625264:16626282:-
FBgn0000017,FBtr0330131,3L:16626606:16626752:-
FBgn0000017,FBtr0330131,3L:16626853:16626931:-
FBgn0000017,FBtr0330131,3L:16627182:16627511:-
FBgn0000017,FBtr0330131,3L:16628078:16628183:-
FBgn0000017,FBtr0330131,3L:16628579:16628672:-
FBgn0000017,FBtr0330131,3L:16629196:16646819:-
FBgn0000017,FBtr0330135,3L:16623278:16623646:-
FBgn0000017,FBtr0330135,3L:16625264:16626537:-
FBgn0000017,FBtr0330135,3L:16626606:16626752:-
FBgn0000017,FBtr0330135,3L:16626853:16626931:-
FBgn0000017,FBtr0330135,3L:16627182:16627511:-
FBgn0000017,FBtr0330135,3L:16628078:16628183:-
FBgn0000017,FBtr0330135,3L:16628579:16646819:-
FBgn0000017,FBtr0330132,3L:16623278:16623646:-
FBgn0000017,FBtr0330132,3L:16625264:16626282:-
FBgn0000017,FBtr0330132,3L:16626606:16626752:-
FBgn0000017,FBtr0330132,3L:16626853:16626931:-
FBgn0000017,FBtr0330132,3L:16627182:16627511:-
FBgn0000017,FBtr0330132,3L:16628078:16628183:-
FBgn0000017,FBtr0330132,3L:16628579:16646819:-
FBgn0000017,FBtr0330133,3L:16625264:16626282:-
FBgn0000017,FBtr0330133,3L:16626606:16626752:-
FBgn0000017,FBtr0330133,3L:16626853:16626931:-
FBgn0000017,FBtr0330133,3L:16627182:16627511:-
FBgn0000017,FBtr0330133,3L:16628078:16628183:-
FBgn0000017,FBtr0330133,3L:16628579:16628672:-
FBgn0000017,FBtr0330133,3L:16629196:16646819:-
FBgn0000017,FBtr0330132,3L:16623278:16623646:-
FBgn0000017,FBtr0330132,3L:16625264:16626282:-
FBgn0000017,FBtr0330132,3L:16626606:16626752:-
FBgn0000017,FBtr0330132,3L:16626853:16626931:-
FBgn0000017,FBtr0330132,3L:16627182:16627511:-
FBgn0000017,FBtr0330132,3L:16628078:16628183:-
FBgn0000017,FBtr0330132,3L:16628579:16646819:-
FBgn0000017,FBtr0330135,3L:16623278:16623646:-
FBgn0000017,FBtr0330135,3L:16625264:16626537:-
FBgn0000017,FBtr0330135,3L:16626606:16626752:-
FBgn0000017,FBtr0330135,3L:16626853:16626931:-
FBgn0000017,FBtr0330135,3L:16627182:16627511:-
FBgn0000017,FBtr0330135,3L:16628078:16628183:-
FBgn0000017,FBtr0330135,3L:16628579:16646819:-
FBgn0000017,FBtr0330133,3L:16625264:16626282:-
FBgn0000017,FBtr0330133,3L:16626606:16626752:-
FBgn0000017,FBtr0330133,3L:16626853:16626931:-
FBgn0000017,FBtr0330133,3L:16627182:16627511:-
FBgn0000017,FBtr0330133,3L:16628078:16628183:-
FBgn0000017,FBtr0330133,3L:16628579:16628672:-
FBgn0000017,FBtr0330133,3L:16629196:16646819:-
FBgn0000017,FBtr0330135,3L:16623278:16623646:-
FBgn0000017,FBtr0330135,3L:16625264:16626537:-
FBgn0000017,FBtr0330135,3L:16626606:16626752:-
FBgn0000017,FBtr0330135,3L:16626853:16626931:-
FBgn0000017,FBtr0330135,3L:16627182:16627511:-
FBgn0000017,FBtr0330135,3L:16628078:16628183:-
FBgn0000017,FBtr0330135,3L:16628579:16646819:-
FBgn0000017,FBtr0330133,3L:16625264:16626282:-
FBgn0000017,FBtr0330133,3L:16626606:16626752:-
FBgn0000017,FBtr0330133,3L:16626853:16626931:-
FBgn0000017,FBtr0330133,3L:16627182:16627511:-
FBgn0000017,FBtr0330133,3L:16628078:16628183:-
FBgn0000017,FBtr0330133,3L:16628579:16628672:-
FBgn0000017,FBtr0330133,3L:16629196:16646819:-
FBgn0000017,FBtr0330134,3L:16623278:16623646:-
FBgn0000017,FBtr0330134,3L:16625264:16626537:-
FBgn0000017,FBtr0330134,3L:16626606:16626752:-
FBgn0000017,FBtr0330134,3L:16626853:16626931:-
FBgn0000017,FBtr0330134,3L:16627182:16627511:-
FBgn0000017,FBtr0330134,3L:16628078:16628183:-
FBgn0000017,FBtr0330134,3L:16628579:16628672:-
FBgn0000017,FBtr0330134,3L:16629196:16646819:-
FBgn0000017,FBtr0330134,3L:16623278:16623646:-
FBgn0000017,FBtr0330134,3L:16625264:16626537:-
FBgn0000017,FBtr0330134,3L:16626606:16626752:-
FBgn0000017,FBtr0330134,3L:16626853:16626931:-
FBgn0000017,FBtr0330134,3L:16627182:16627511:-
FBgn0000017,FBtr0330134,3L:16628078:16628183:-
FBgn0000017,FBtr0330134,3L:16628579:16628672:-
FBgn0000017,FBtr0330134,3L:16629196:16646819:-
FBgn0000017,FBtr0330135,3L:16623278:16623646:-
FBgn0000017,FBtr0330135,3L:16625264:16626537:-
FBgn0000017,FBtr0330135,3L:16626606:16626752:-
FBgn0000017,FBtr0330135,3L:16626853:16626931:-
FBgn0000017,FBtr0330135,3L:16627182:16627511:-
FBgn0000017,FBtr0330135,3L:16628078:16628183:-
FBgn0000017,FBtr0330135,3L:16628579:16646819:-
FBgn0003944,FBtr0083347,3R:16659063:16710571:-
FBgn0003944,FBtr0083347,3R:16710602:16732707:-
FBgn0003944,FBtr0083348,3R:16659063:16732734:-
FBgn0003944,FBtr0083347,3R:16659063:16710571:-
FBgn0003944,FBtr0083347,3R:16710602:16732707:-
FBgn0003944,FBtr0083350,3R:16659063:16732734:-
FBgn0003944,FBtr0083347,3R:16659063:16710571:-
FBgn0003944,FBtr0083347,3R:16710602:16732707:-
FBgn0003944,FBtr0083349,3R:16659063:16732707:-
FBgn0003944,FBtr0083348,3R:16659063:16732734:-
FBgn0003944,FBtr0083350,3R:16659063:16732734:-
FBgn0003944,FBtr0083347,3R:16659063:16710571:-
FBgn0003944,FBtr0083347,3R:16710602:16732707:-
FBgn0003944,FBtr0083351,3R:16659063:16710571:-
FBgn0003944,FBtr0083351,3R:16710602:16732734:-
FBgn0003944,FBtr0083347,3R:16659063:16710571:-
FBgn0003944,FBtr0083347,3R:16710602:16732707:-
FBgn0003944,FBtr0083352,3R:16659063:16732707:-
FBgn0003944,FBtr0083348,3R:16659063:16732734:-
FBgn0003944,FBtr0083349,3R:16659063:16732707:-
FBgn0003944,FBtr0083349,3R:16659063:16732707:-
FBgn0003944,FBtr0083352,3R:16659063:16732707:-
FBgn0003944,FBtr0083348,3R:16659063:16732734:-
FBgn0003944,FBtr0083351,3R:16659063:16710571:-
FBgn0003944,FBtr0083351,3R:16710602:16732734:-
FBgn0003944,FBtr0083348,3R:16659063:16732734:-
FBgn0003944,FBtr0083352,3R:16659063:16732707:-
FBgn0003944,FBtr0083349,3R:16659063:16732707:-
FBgn0003944,FBtr0083350,3R:16659063:16732734:-
FBgn0003944,FBtr0083349,3R:16659063:16732707:-
FBgn0003944,FBtr0083351,3R:16659063:16710571:-
FBgn0003944,FBtr0083351,3R:16710602:16732734:-
FBgn0003944,FBtr0083350,3R:16659063:16732734:-
FBgn0003944,FBtr0083352,3R:16659063:16732707:-
FBgn0003944,FBtr0083350,3R:16659063:16732734:-
FBgn0003944,FBtr0083351,3R:16659063:16710571:-
FBgn0003944,FBtr0083351,3R:16710602:16732734:-
FBgn0003944,FBtr0083351,3R:16659063:16710571:-
FBgn0003944,FBtr0083351,3R:16710602:16732734:-
FBgn0003944,FBtr0083352,3R:16659063:16732707:-
